sorgu|1st|2nd|3rd|4th|5th
Fikir Kulüpleri Federasyonu'nun dönüşümü hangi dergi ile koordine edilmiştir?|Barış Manço|Mustafa Kemal Atatürk|Pisagor teoremi|Bray Wyatt|
2001'deki Köln Başkonsolosluğu mesajında, Anıtkabir'e gerçekleştirilmek istenen saldırının planlandığı tarih belirtilmemiş olsa da, 11 Eylül saldırılarından kaç gün sonra bu mesaj Dışişleri Bakanlığına iletildi?|Anıtkabir|Recep Tayyip Erdoğan|4 Minutes|Mustafa Kemal Atatürk|
İsmet İnönü'nün ölüm tarihi nedir?|Ponteceso|Ned Stark|Ned Stark|Wilhelmus|
Osmanlı İmparatorluğu'nun başkenti Konya mıdır?|Saruhan Sancağı|Alibeyli, Sumbas|Triumvirlik|Pforzheim|
Hangi Windows sürümü, ilk defa 32 bit işlemcilere geçiş yapmıştır?|Survivalcraft|Ardanuç|Mustafa Akıncı|Tarım|
AK Parti döneminde Türkiye'nin altyapı alanındaki gelişmeler nelerdir?|Güneş Sigorta (kadın voleybol takımı)|Yayla (şirket, Türkiye)|1871|Türkiye Cumhuriyeti Avrupa Birliği Başkanlığı|
Tüm İlerici Gençler Derneği, hangi tarihte kurulmuştur?|Antropoloji|Trick'r Treat|Abhazya Krallığı|Nikea Kuşatması (727)|
Yehuling Savaşı ne zaman gerçekleşti?|Cengiz Han|HADYEK|Antik Mısır|I. Dünya Savaşı ordularının subay rütbe ve işaretleri|
Cengiz Han'ın Çin'e karşı seferi için kaç asker toplandı?|Bazilika|Çaka Bey|Antik Mısır|Kimmerler|
Coğrafyanın pratik alanlarında hangi teknolojik gelişmelerin yaşanması coğrafik araştırmalarda nasıl bir etki yaratmıştır?|Antik Mısır|Wonton|Duygu|Biyoloji ve cinsel yönelim|
Mustafa Kemal'in askeri stratejileri ve savaşlardaki başarıları hakkında bilgi veriniz.|Küfizade Asaf Bey|Mustafa Kemal Atatürk|Girne Kalesi|Ebru (anlam ayrımı)|
2022'de Türkiye hangi ülkeyi arabulucu olarak görev yaparak Ukrayna ile esir takasında bulundu?|Power Plus|Veli Tarakcı|Sakarya'da 2023 Türkiye cumhurbaşkanlığı ve genel seçimleri|2020 Yaz Olimpiyatları'nda eskrim - Kadınlar kılıç|
Yoda'nın öğrencileri arasında Luke Skywalker var mıdır? |Yoda|Yoda|Yoda|Yoda|
Metinde spam ile ilgili olarak hangi tür eylemler ve yöntemler kullanılmaktadır?|Çin mitolojisi|Anıtkabir|Mongoose Operasyonu|Tafoni|
1206 yılında kurulan muhafız birliği kaç kişiden oluşmaktadır?|Hel, Polonya|Bilgelik|Fethi Karakaş|Ardanuç|
 Coğrafyanın tarihsel gelişimi nasıl şekillenmiştir ve hangi önemli dönemlerde hangi gelişmeler yaşanmıştır?|Ohri|Görgü tanığının ifadesi|Firdevs Meydanı Olayı|İCloud|
Time Dergisi'nin hangi sayısında Erdoğan'ın fotoğrafı ve Erdoğan'ın Yolu başlığıyla yer almıştır?|Recep Tayyip Erdoğan|Mustafa Kemal Atatürk|Recep Tayyip Erdoğan|Can Dündar|
Ekotop kavramı hangi unsurları içerir?|Harry Potter kurgusal evreni|Kanüllü inek|Suhoy Su-35|Demiryolu kazaları listesi (2010-günümüz)|
Fermantasyon, hücresel solunumun bir parçası mıdır?|Triumvirlik|İHeartRadio Müzik Ödülleri|Danla Bilic|Amerika Birleşik Devletleri'nde LGBT tarihi|
Ontoloji nedir?|Çeken akıntı|Hukuk|Peter Higgs|16. yüzyıl|
Hangi ülke, Türkiye'nin 2014'te Rusya'nın Kırım'ı ilhakını tanımayacağını açıkça ifade etti?|Kırıkkale'de 2014 Türkiye cumhurbaşkanlığı seçimi|Kırıkkale'de 2014 Türkiye cumhurbaşkanlığı seçimi|Akdoğan, Mağusa|Karaçı|
Spor, genellikle rekabete dayalı yarışma ve kişisel eğlence veya mükemmelliğe ulaşmak için yapılan zihinsel veya fiziksel aktivite midir?|G/Ç metotları|Hayatta kalma yanılgısı|Anaksimenes (Lampsakoslu)|Spor|
Hasnun Galip Binası olarak anılan bina, bugün kulübün Stadyum'dan sorumlu bölümlerine ve Sicil Kurulu'na hizmet vermekte midir?|Veysel Karani, Haliliye|Ömerbey, Mudanya|Kargalı, Haliliye|Eğitim, Yıldırım|
Popülasyon ekolojisinde hangi veriler kullanılır?|Hayatta kalma yanılgısı|Kesme taş|Tequila, Jalisco|Federal Deposit Insurance Corporation|
Büyük İskender, Mısır'ı kolaylıkla fethedebilmiş ve Mısırlılar tarafından kurtarıcı olarak karşılanmış mıdır?|Türkiye|Karl-Gerät|1907 Romanya Köylü İsyanı|Danimarka'da din|
15 Temmuz 2016'da Türkiye'de gerçekleşen darbe girişimi ne tür bir girişimdir?|Helenleştirme|Recep Tayyip Erdoğan|Bilecik'te 2019 Türkiye yerel seçimleri|Grigol Mgaloblişvili|
Terry Gilliam'ın ilk bağımsız filmi hangisidir?|Albert Brooks|Yedinci Küçük Kardeş|Sanaya Irani|Allah Kerim|
Galatasaray Lisesi'nin tarihçesi ve gelişimi hakkında ne söylenebilir?|Tokatlıoğlu|Suhoy Su-33|Çin mitolojisi|Dior Eluchíl|
Naqada Kültürü Badari Kültürü'ne benzer özellikler gösterir mi?|Neandertal|Antropoloji|Imre Lakatos|Özdeşleşme|
Orta Çağ'da İslam dünyası oldukça ileri düzeyde bir uygarlığa sahip miydi?|Hayatta kalma yanılgısı|Fethi Karakaş|Ardanuç|Oksijen izotopu|
Barış Manço'ya hangi ödül 1991 yılında Japonya Soka Üniversitesi tarafından verilmiştir?|Adnan Sadık Erzi|Selim Turan|Mareşal Emin Paşa|Barış Manço|
Hücre teorisi, tüm canlıların bir veya daha fazla hücreden oluştuğunu mu belirtir?|The Jackson 5|Zanlı|Tequila, Jalisco|The Christmas Invasion|
Cengiz Han'ın doğumundan önce kaç yıl yaşadığı tahmin ediliyor?|Württemberg Krallığı|Mustafa Kemal Atatürk|Görgü tanığının ifadesi|Baruch Spinoza|
Ardahan ne zaman bir il olmuştur?|Nişan İlçesi|Köşrabat İlçesi|Nad Ali ilçesi|Erikli, Atakum|
Kimya mühendisliği sadece ticari kimyasalların üretimiyle mi ilgilenir?|Nikea Kuşatması (727)|Irkların karışması|Kesme taş|Zeytindalı, Akçakale|
Mançurya'daki Liao hanedanı hangi tarihte Jin'den ayrılarak Cengiz Han'a bağlı bir prenslik haline getirildi?|Kütüklü, Harran|Erikli, Atakum|Gent-Terneuzen Kanalı|Bahçe, Tarsus|
Metinde Atatürk dönemindeki önemli olaylar ve politikalar nelerdir?|Anadolu Selçuklu Devleti|Düz oranlı vergi|1871|Nursultan Nazarbayev|
Yoda, Qui-Gon Jinn'in ruhu ile iletişim kurabilmekte midir?|Medcezir (dizi)|2016 Yaz Olimpiyatları'nda Japonya|Gemi sökümü|Budapeşte|
Mısır yazı geleneğinin, anıt mezarlardaki özgeçmişlerde geliştiği doğru mu?|Firdevs Meydanı Olayı|Yanık (anlam ayrımı)|Zazaca|Dnepropetrovsk manyakları|
Sanal Ortamda İşlenen Suçlar Sözleşmesi'nin imzalandığı tarih ve yer nedir?|Kapullu, Karabük|Filantropizm|İHeartRadio Müzik Ödülleri|Kırıkkale'de 2018 Türkiye cumhurbaşkanlığı ve genel seçimleri|
Kadı Burhaneddin hangi yıl Eretna Devleti'ne son vererek kendi adıyla anılan devleti kurmuştur?|Pharsalia|Hayvan hakları|Triumvirlik|Frodo Baggins|
Şeref Holü'nün yanlarındaki galerilerin ölçüleri nedir?|Ingress|Peter Higgs|Hukuk|Anıtkabir|
Atılım dergisi nedir ve ne zaman yayınlanmaya başlamıştır?|Ardanuç|The Christmas Invasion|Amerika Birleşik Devletleri'nde LGBT tarihi|Triumvirlik|
Hangi gazete Katil ve Hırsız Erdoğan manşetiyle çıkmıştır?|Sosyoloji|Triumvirlik|Wiesenthau|Hayatta kalma yanılgısı|
Barış Manço hangi şarkısının klibinde, çeşitli şehirleri gezip şarkıya sosyal iletiler eklemiştir?|Pforzheim|Wiesenthau|Zeytindalı, Akçakale|Kütüklü, Harran|
İsmet İnönü'nün liderliğindeki CHP hangi seçimde %40 oy aldı ve hangi partiye iktidarı bıraktı?|Pınarbaşı, Derebucak|Sema Silkin Ün|Fenerbahçe (erkek voleybol takımı) 1990-91 sezonu|Macaristan Krallığı (1000-1301)|
Dil, bir göstergeler sistemi olarak tasarlanabilir mi?|Olivin|Imre Lakatos|Eben-Emael Kalesi Muharebesi|Aslanapa|
Barış Manço, Les Mistigris ile hangi ülkelerde konserler vermiştir?|İnikli, İznik|Erikli, Atakum|Wiesenthau|Akarsu, Tarsus|
Merv'deki katliamda kaç kişi öldürüldü?|Cengiz Han|Abhazya Krallığı|Sananesi Kilisesi|Nikea Kuşatması (727)|
Metinde, Ferrari'nin kuruluş süreci ve kurucusu Enzo Ferrari'nin hayatı hakkında bilgiler verilmiştir. Ayrıca şirketin otomobil yarışçılığındaki başarıları ve maddi zorluklarla karşılaşması ele alınmıştır.|Ferrari|Ferrari|Ferrari|Ferrari|
SPAM e-postaların finansal etkileri nelerdir ve bu durum kurumlar için nasıl bir mali yük oluşturur?|Spam|Spam|Spam|Spam|
Doğal sayılar hangi sayıların kümesini ifade eder?|Çin mitolojisi|Görgü tanığının ifadesi|Beyşehir Gölü|Veled-i Yaniç Camii|
John Forbes Kerry kimdir ve siyasi kariyeri nasıl şekillenmiştir?|Emmanuel Sanon|Kathleen R. F. Griffin-Burrill|Hikmet Hacıyev|Eylem Yıldız|
Türkçe, Altay dil ailesine mi aittir?|Dil|Düzce'de 2004 Türkiye yerel seçimleri|Bilecik'te 2019 Türkiye yerel seçimleri|Fenerbahçe (erkek voleybol takımı) 1990-91 sezonu|
Aristoteles gibi Antik Yunan filozofları biyolojik bilginin gelişimine katkıda bulunmuşlar mıdır?|Biyoloji|77 Bildirgesi|Biyokimya mühendisliği|Rodoslu Eudemos|
Barış Manço'nun televizyon programı olan 7'den 77'ye, hangi yıl başlamıştır ve hangi kanalda yayınlanmıştır?|Özcan Türe|Güldüy Güldüy Show|IP telefon|Larus dominicanus|
Dil yozlaşmasının nedenleri arasında medyanın etkisi de bulunmakta mıdır?|İspanya'daki Yahudi kültürünün altın çağı|Taylor Swift|Heinz Rühmann|Fenerbahçe (erkek voleybol takımı) 1990-91 sezonu|
Eski Mısır'daki sanat, sadece dinsel ve politik amaçlar için mi kullanıldı?|İHeartRadio Müzik Ödülleri|Brillouin saçılması|Monosodyum glutamat|Kütüklü, Harran|
Uğur Mumcu'nun hakkında hangi belgeseller hazırlanmıştır ve kimler tarafından yönetilmiştir?|Anıtkabir|Frodo Baggins|Kifoz|Provance'lı Margaret|
Metafizikte hangi temel konular incelenir?|Canlısal manyetizma|Cengiz Han|Kütleçekimi alanı|Alime Abdenanova|
Orta Krallık Dönemi, 2. Mentuhotep'in Mısır'da siyasal birliği yeniden kurmasıyla başladı mı? |Antik Mısır|Monosodyum glutamat|Pforzheim|Hayatta kalma yanılgısı|
S. Murat Demiral, 1993 yılında öğretim görevlisi olarak çalışmış mıdır?|Sevecen Tunç|23 Eylül|İHeartRadio Müzik Ödülleri|Müjdat Gürsu|
 Hibrid veya Melez terimleri hangi anlamlara gelebilir?|Yanık (anlam ayrımı)|Pisagor teoremi|Yoncalık|Tilkilik|
Alfred Wegener'in kıta kayması teorisi 1960'larda kabul görmüş müdür?|Girne Kalesi|Rudolf Carnap|Marion Kracht|22 Kasım|
Ulusal Mühendislik Akademisi'ne göre, tarımdaki makineleşme bir devrim midir?|Akarsu, Tarsus|Erikli, Atakum|Amerika Birleşik Devletleri'nde LGBT tarihi|Eksiltili cümle|
Büyükbaş hayvanlar, Eski Mısır'da en önemli çiftlik hayvanlarından biri miydi?|Recep Tayyip Erdoğan|4 Minutes|Koçköy, Tuşba|Hayatta kalma yanılgısı|
Danimarka ve Hollanda, süt ürünleri ihracatıyla Avrupa'da öne mi geçmiştir?|Tarım|Cebrail Hasanov|Bazilika|Halkın Gücü Partisi|
Dinin kökeni hakkında bilimsel olarak kesin bir sonuca varılmış mıdır?|Çin mitolojisi|Jeff Forshaw|Wiesenthau|Demokrasi ve Özgürlükler Adası|
Mistisizm, fiziksel disiplinlerle ruhani hakikat veya tanrı ile birleşmeyi denemeye odaklanır mı?|Theridion makotoi|Theridion hummeli|Jaral del Progreso|Irkların karışması|
Gençlerbirliği'nin Türkiye Futbol Şampiyonası'nda kaç kez şampiyon olduğu bilgisini verir misiniz?|Türkiye Kadınlar Basketbol Şampiyonası|Adan|Ömer Hacısalihoğlu|Karaçı|
Metinde, toplum bilimcilerin çalışma alanları, toplum biliminin diğer bilimlerle ilişkisi, araştırma yöntemleri ve sosyal teoriler hakkında bilgiler verilmektedir.|Sosyoloji|Sosyoloji|Sosyoloji|Sosyoloji|
Yazılım mühendisliğinin tanımı kim tarafından yapılmıştır?|Cakewalk Sonar|Cengiz Han|Fenerbahçe (erkek voleybol takımı) 1990-91 sezonu|Ahmet Yener|
Metinde otomobil teknolojisinin ve yeniliklerinin tarihçesi hakkında neler söylenmektedir?|Macaristan Krallığı (1000-1301)|Macaristan Krallığı (1000-1301)|Koşma (edebiyat)|Anadolu Selçuklu Devleti|
Koyunların kuzulama dönemleri genellikle bahar aylarında mıdır?|Yerçekimi potansiyel enerjisi|Elizabeth Dönemi|G/Ç metotları|Brillouin saçılması|
Cumhurbaşkanlığı Sarayı'nın inşası hangi doğal alan üzerine gerçekleşti?|Saruhan Sancağı|Cengiz Han|Zeytindalı, Akçakale|Amerika Birleşik Devletleri'nde LGBT tarihi|
Galatasaray, 1953 yılında Türkiye Kürek Şampiyonası'nda Kadın ve Erkek Kürek Takımlarıyla şampiyon olmuş mudur?|Türkiye Kadınlar Basketbol Şampiyonası|Mustafa Rauf İnan|Uska Dara|Polis Bakım ve Yardım Sandığı|
Dersim Vilayeti hangi yıl ve hangi Osmanlı vilayetinden ayrılarak oluşturulmuştur?|Kirazlı, Osmangazi|Çin mitolojisi|Jeff Forshaw|Hayatta kalma yanılgısı|
Simbiyoz, her iki taraf için de faydalı olan bir ilişki türü müdür?|Manuil Vutumitis|Bazilika|Sophia Brahe|Zazaca|
Eski Mısırlıların giysileri genellikle renkli ve desenli miydi?|G/Ç metotları|İHeartRadio Müzik Ödülleri|Dil|Amerika Birleşik Devletleri'nde LGBT tarihi|
Mazgirt'in rakımı nedir?|Budapeşte|Gacallar|İHeartRadio Müzik Ödülleri|Monosodyum glutamat|
 Verilen e-posta örneğinde ne tür bir dolandırıcılık girişimi yer almaktadır ve spam e-postaların finansal etkileri nelerdir?|Yönlendirici|Lictor|Ardanuç|Mongoose Operasyonu|
Metinde otomobilin gelişmesine katkıda bulunan kişiler ve otomobilin çeşitli yönleri hakkında neler anlatılmaktadır?|Duygu|Anadolu Selçuklu Devleti|Firdevs Meydanı Olayı|Charlotte Brontë|
Hangi tür sismik dalgalar Dünya'nın içinden geçer?|Kütüklü, Harran|Çin mitolojisi|Dil|Zeytindalı, Akçakale|
Windows 7 hangi yıl piyasaya sürülmüştür?|Microsoft Windows|Windows 8|Microsoft Windows|Microsoft Windows|
 Bill Clinton'un Saray'dan ayrıldıktan sonraki faaliyetleri nelerdir?|Musevi terörizmi|Mustafa Kemal Atatürk|Kathleen R. F. Griffin-Burrill|Amerika Birleşik Devletleri'nde LGBT tarihi|
Norfolk'ta yaşayan İngiliz çiftçiler, dörtlü ekim nöbeti sistemini geliştirmişler midir?|Mathieu Kérékou|Veri ambarı|Ingress|Cengiz Han|
Fotosentezin üçüncü aşamasında NADPH ve ATP mi üretilir?|Dnepropetrovsk manyakları|Oksidatif fosforilasyon|Rezve|Emanet Gölge|
DNA parçalarının birleştirilmesini sağlayan enzim hangisidir?|Genetik|Genetik|Genetik|Cengiz Han|
Operon, aynı promotörü paylaşan bir gen kümesini ifade eder ve genellikle prokaryotlarda mı bulunur?|Yerçekimi potansiyel enerjisi|Arap-İsrail savaşları|Ferit İlsever|G/Ç metotları|
Temuçin'in kağan unvanının verildiği yıl hangisidir?|İHeartRadio Müzik Ödülleri|Triumvirlik|Mongoose Operasyonu|The Christmas Invasion|
Metinde, sosyoloji disiplininin özellikleri, sosyolojik bakış açısı, sosyal teori ve sosyal bilimlerle ilişkisi hakkında bilgiler verilmektedir.|Monosodyum glutamat|Aslanapa|Kimmerler|Veri ambarı|
Metinde hangi uluslararası anlaşmalar ve antlaşmalar, hangi tarihlerde imzalandı ve hangi önemli maddeleri içeriyorlar?|Abroz, Marmara|Şinasi, Ereğli|Göllüce, Torbalı|İskele, Edremit|
Mobil cihazlar için Linux tabanlı işletim sistemi hangi marka tarafından geliştirilmiştir?|Linux|Linux|Linux|Linux|
Metinde, Fransız şair ve yazar Gérard de Nerval'in hayatı, eserleri ve önemi hakkında bilgiler verilmektedir.|Wiesenthau|Mongoose Operasyonu|4 Minutes|The Christmas Invasion|
Barış Manço'nun askerlik süresi ne kadardır?|Jaral del Progreso|Anadolu Selçuklu Devleti|Apaseo el Alto|Jaral del Progreso|
2018 genel seçimlerinde Adalet ve Kalkınma Partisi kaç milletvekili çıkardı?|Tokat'ta 1987 Türkiye genel seçimleri|Isparta'da 1991 Türkiye genel seçimleri|Edirne'de 1999 Türkiye genel seçimleri|Gaziantep'te 2007 Türkiye genel seçimleri|
John Edwards'ın politik kariyerindeki en başarılı dönemi hangi seçimde yaşanmıştır?|Gözaltında ölüm ve kaybolma|Bursa'da 2011 Türkiye genel seçimleri|Hür Demokrat Parti (Kuzey Kıbrıs Türk Cumhuriyeti)|Kuzey Suriye'de Türkiye|
Depremin büyüklüğü hangi ölçek ile belirlenir?|Karl-Gerät|Cengiz Han|Koçköy, Tuşba|Birleşik Krallık hükûmeti|
Orta Krallık Dönemi'nde, Mısırlılar Girit ile ticari ilişki içine girdi mi?|Bazilika|Mustafa Akıncı|Zeytindalı, Akçakale|Antik Mısır|
Metinde hangi türlerdeki spam içerikleri ve bunların örnekleri verilmektedir?|Miracle at St. Anna|Harry Potter kurgusal evreni|Antik Mısır|Tulerpeton|
Ekolojinin ana alt dalları nelerdir?|Çin mitolojisi|Erikli, Atakum|Fethi Karakaş|Triumvirlik|
Hangi kaynaklar ve siteler, astronomiyle ilgili güncel haberler, incelemeler, fotoğraflar ve diğer içerikler sunar?|NGC 3690A|NGC 6290|NGC 518|Line|
Hangi yıl Türkiye Kupası'nı kazanarak UEFA Kupası'na katılma hakkı elde etmiştir?|Salih Hacıoğlu|Konya Havalimanı|Tuğba Karademir|Akdoğan, Mağusa|
İşaret dili çevirmenleri sadece el kol hareketlerini mi tercüme eder?|Deus ex machina|Ebru (anlam ayrımı)|Sancak bağı|Yukarısivri, Tortum|
Esperanto kelimesinin etimolojisi umut etmek anlamına gelen bir Fransızca kelimeye mi dayanır?|Esperanto|Türkiye|Özcan Türe|Net ölçüm|
Metinde anlatılan olaylar nelerdir?|Mongoose Operasyonu|Amerika Birleşik Devletleri'nde LGBT tarihi|Anıtkabir|Çin mitolojisi|
Karl Marx'ın 1841'de bitirdiği ve doktora tezi olarak sunduğu eserinin adı nedir?|Karl Marx|Karl Marx|Karl Marx|Karl Marx|
Temuçin'in ailesinde kaç kardeşi vardı?|Cengiz Han|Cengiz Han|Cengiz Han|Ardanuç|
Erdoğan hangi ülkenin Ukrayna'yı işgalini Kırım'ın işgali olarak nitelendirmiştir?|Recep Tayyip Erdoğan|Recep Tayyip Erdoğan|Aydın Erel|Wiesenthau|
Barış Manço hangi müzik türünün öncülerinden biri olarak bilinir?|İnikli, İznik|Kütüklü, Harran|Wiesenthau|Genetik|
Los Angeles'ta kaç tane Fortune 500 şirketi bulunmaktadır?|En İyi Yapım Tasarımı Akademi Ödülü|22 Kasım|Ehl-i Hak|Macaristan Krallığı (1000-1301)|
Pisagor'un önerdiği yönetim modelinde, yöneticiler nasıl seçilmelidir?|Miller-Urey deneyi|Yoncalık|The Christmas Invasion|Moshe Safdie|
Bu metinde Türkiye'de siyasi partilerin kuruluşu, tarihçesi, faaliyetleri ve mevcut durumu hakkında bilgiler verilmektedir. Siyasi partilerin Türkiye'deki gelişimi nasıl başlamıştır ve bugüne kadar nasıl bir seyir izlemiştir?|Kuzey Suriye'de Türkiye|Karaçı|Konya Havalimanı|Türkiye Cumhuriyeti Avrupa Birliği Başkanlığı|
2004 Amerika Birleşik Devletleri başkanlık seçimlerinde hangi eyaletlerde kazanan partinin farklı olduğu görüldü?|Çılgın At Dağ Anıtı|Basketbol|Pınarbaşı, Derebucak|Aslanapa|
John Edwards hangi başkan adayının başkan yardımcısı adayıydı ve hangi başkanlık seçimlerinde yer almıştır?|İzmiroğlu Cüneyd Bey|Gözaltında ölüm ve kaybolma|Fellah köftesi|Wonton|
Metinde bahsedilen olaylar nelerdir ve Atatürk'ün dış politikası nasıl şekillenmiştir?|Çin mitolojisi|Anadolu Selçuklu Devleti|Mongoose Operasyonu|Düz oranlı vergi|
Metinde hangi anlamlara gelen bir kısaltmadan bahsedilmektedir?|Aslanapa|Wiesenthau|Bazilika|Kütüklü, Harran|
Uluslararası hukukta, devletler arasında eşitlik ilkesi geçerli midir?|Cezayir|Amerika Birleşik Devletleri'nde LGBT tarihi|G/Ç metotları|Anıtkabir|
Windows işletim sistemi ailesi hangi şirket tarafından geliştirilmiştir?|Basit biyosfer modeli|Ardanuç|Çin mitolojisi|Ardanuç|
Dinin kökeninin vahiy olduğunu savunan bilim insanlarından biri Wilhelm Schmidt midir?|Sparta anayasası|Salih Hacıoğlu|Antik Mısır|Fethi Karakaş|
Mustafa Kemal, Hicaz Seferi'ne katılan birliklerin komutanlığına atandı mı?|Mustafa Kemal Atatürk|Küfizade Asaf Bey|4 Minutes|Recep Tayyip Erdoğan|
Galatasaray Lisesi'nin tarihi ve günümüzdeki durumu nasıldır?|Erikli, Atakum|Altunizade|Bahçe, Tarsus|Verimli, Tarsus|
Metinde, Porsche AG'nin Formula 1'deki başarıları, pilotlar dünya şampiyonlukları ve üreticiler dünya şampiyonlukları hakkında bilgiler bulunmaktadır.|Porsche|Lada Samara|Porsche|Porsche|
Kaç yılında Yıldız Savaşları serisinin ilk filmi yayınlanmıştır ve bu film hangi stüdyo tarafından yayınlanmıştır?|Hayalet (2019)|2007 yılında Türkiye'de en çok gişe yapan filmler listesi|İclal Ar|Cennet Gözlüm (film)|
Anıtkabir'in toplam maliyeti ne kadardı ve proje için ayrılan bütçeden ne kadar tasarruf edildi?|Alime Abdenanova|Amerika Birleşik Devletleri'nde LGBT tarihi|Suhoy Su-35|Saruhan Sancağı|
Gestuno, gerçek bir dil gibi somut dil bilgisel kurallarına sahip midir?|Ardanuç|Sparta anayasası|G/Ç metotları|Chilli sos|
Metinde hangi tür spam içeriklerinin olduğu ve bunların kullanıcılara nasıl ulaştığı hakkında bilgi verilmektedir?|Yönlendirici|PH metre|Anıtkabir|Anaksimenes (Lampsakoslu)|
Metinde, coğrafyanın beş temel unsuru ve bu unsurların açıklamaları verilmektedir. Bu unsurlar nelerdir ve nasıl tanımlanmaktadır?|Triumvirlik|Kimmerler|Amerika Birleşik Devletleri'nde LGBT tarihi|The Christmas Invasion|
Big Bang modeli 1984'te mi doğrulanmıştır?|Yaakov Heruti|1984 Kış Olimpiyatları|Seven (Güney Koreli şarkıcı)|Idir|
Tony Blair, hangi yıllar arasında Birleşik Krallık Başbakanlığı yapmıştır?|Tony Blair|Tony Blair|Recep Tayyip Erdoğan|Tony Blair|
Hangi tür insani faaliyetler yapay depremlere örnek olarak verilebilir?|Basit biyosfer modeli|Kronik rumen asidozu|Hukuk|Basit biyosfer modeli|
